지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22105,2001-01-28,,,,,,,,1.6,3.3,,4.4
22105,2001-05-18,,,,,,,,1.9,3.9,,5.1
22105,2001-05-19,,,,,,,,0.9,2,,4.5
22105,2001-05-20,,,,,,,,1,2.3,,4.5
22105,2001-05-21,5.8,1008.3,93,15.6,16.6,1.5,0.7,1.2,2.5,3.9,4.4
22105,2001-05-22,8.5,1008.1,95,14.2,16.3,2.5,1.2,1.6,3.4,4.1,4.3
22105,2001-05-23,8,1006.2,95,14.9,16.6,2.7,1.3,1.7,3.5,4.2,4.9
22105,2001-05-24,8.6,1006.7,90,13.9,16.5,2.5,1.2,1.6,3.3,4,4.4
22105,2001-05-25,5.4,1006.7,87,16.3,16.5,1.7,0.8,1.2,2.6,4.1,4.5
22105,2001-05-26,3.4,1008.2,85,17.5,16.6,0.8,0.4,0.6,1.2,3.8,4.1
22105,2001-05-27,2.6,1006.8,92,16.7,16.9,0.6,0.3,0.4,0.8,3.4,3.6
22105,2001-05-28,4.6,1006.6,91,17.7,17.3,0.6,0.3,0.5,1.1,3.4,3.9
22105,2001-05-29,4.2,1007.8,85,18.5,17.8,0.7,0.3,0.5,1.1,3.6,4.1
22105,2001-05-30,4.7,1006.4,85,18.7,17.7,1,0.5,0.7,1.7,3.8,4.3
22105,2001-05-31,4.7,1005.6,88,17,17.6,0.8,0.4,0.5,1.1,3.6,4.1
22105,2001-06-01,4.1,1007.6,73,18.6,17.6,0.7,0.3,0.5,1,3.4,3.7
22105,2001-06-02,4.4,1011.4,82,18.8,18,0.6,0.3,0.5,1.1,3.6,4.2
22105,2001-06-03,4.5,1007.5,77,20.5,18.5,0.8,0.4,0.5,1.1,3.5,4.1
22105,2001-06-04,4,1005.5,81,20.6,18.9,0.8,0.4,0.5,1.2,3.7,4.3
22105,2001-06-05,6.1,1003,89,19.2,18.4,1.5,0.7,1.5,3.2,3.9,4.5
22105,2001-06-06,3.1,1003.9,96,18.5,18.6,0.6,0.3,0.4,0.7,4,4.9
22105,2001-06-07,2.3,1009.2,90,18.3,18.8,0.5,0.2,0.3,0.6,3.4,4.7
22105,2001-06-08,2.8,1012.3,84,18.8,19.3,0.4,0.2,0.3,0.5,3.5,4
22105,2001-06-09,2.7,1011.9,85,19.1,19.7,0.7,0.3,0.4,0.9,3.7,4.3
22105,2001-06-10,4.4,1010.2,88,19.2,19.7,0.8,0.4,0.4,0.9,3.4,4.2
22105,2001-06-11,4.7,1011,78,18.3,19.5,0.8,0.4,0.5,1.1,3.5,4
22105,2001-06-12,4.5,1008.4,85,18.7,19.8,0.8,0.4,0.5,1.2,3.4,4
22105,2001-06-27,,1005.3,68,23.5,21.9,,,0.1,0.2,,3.3
22105,2001-06-28,2,1003.6,88,23.3,22.4,,,,,,
22105,2001-06-29,2.7,1003.4,95,22.7,22.8,,,,,,
