,평균 수온(°C)
2002-01-01,12.9
2002-01-02,12.2
2002-01-03,11.9
2002-01-04,11.7
2002-01-05,11.7
2002-01-06,11.6
2002-01-07,11.6
2002-01-08,11.8
2002-01-09,11.7
2002-01-10,13.3
2002-01-11,12.7
2002-01-12,13.6
2002-01-13,14.0
2002-01-14,14.1
2002-01-15,12.9
2002-01-16,12.0
2002-01-17,11.7
2002-01-18,11.6
2002-01-19,11.8
2002-01-20,10.8
2002-01-21,11.3
2002-01-22,11.6
2002-01-23,11.0
2002-01-24,11.9
2002-01-25,11.9
2002-01-26,11.1
2002-01-27,10.7
2002-01-28,8.7
2002-01-29,8.5
2002-01-30,10.0
2002-01-31,10.7
2002-02-01,10.8
2002-02-02,11.1
2002-02-03,11.3
2002-02-04,11.7
2002-02-05,11.7
2002-02-06,11.6
2002-02-07,11.4
2002-02-08,10.4
2002-02-09,9.8
2002-02-10,10.1
2002-02-11,10.6
2002-02-12,10.9
2002-02-13,11.1
2002-02-14,10.7
2002-02-15,10.6
2002-02-16,10.5
2002-02-17,10.5
2002-02-18,10.3
2002-02-19,10.3
2002-02-20,10.4
2002-02-21,10.4
2002-02-22,10.5
2002-02-23,10.3
2002-02-24,10.3
2002-02-25,10.4
2002-02-26,10.4
2002-02-27,10.6
2002-02-28,10.6
2002-03-01,10.6
2002-03-02,10.4
2002-03-03,10.3
2002-03-04,10.4
2002-03-05,10.3
2002-03-06,10.2
2002-03-07,10.2
2002-03-08,10.2
2002-03-09,10.3
2002-03-10,10.4
2002-03-11,10.3
2002-03-12,10.4
2002-03-13,10.4
2002-03-14,11.4
2002-03-15,11.3
2002-03-16,12.7
2002-03-17,13.1
2002-03-18,12.7
2002-03-19,12.4
2002-03-20,12.8
2002-03-21,12.9
2002-03-22,12.4
2002-03-23,11.7
2002-03-24,11.7
2002-03-25,12.4
2002-03-26,12.6
2002-03-27,13.2
2002-03-28,13.3
2002-03-29,13.3
2002-03-30,14.0
2002-03-31,14.5
2002-04-01,14.3
2002-04-02,14.0
2002-04-03,13.1
2002-04-04,12.9
2002-04-05,12.6
2002-04-06,11.8
2002-04-07,11.6
2002-04-08,11.8
2002-04-09,11.5
2002-04-10,11.4
2002-04-11,10.6
2002-04-12,13.6
2002-04-13,14.1
2002-04-14,14.4
2002-04-15,14.3
2002-04-16,13.8
2002-04-17,13.9
2002-04-18,14.3
2002-04-19,14.2
2002-04-20,13.8
2002-04-21,14.6
2002-04-22,15.0
2002-04-23,15.0
2002-04-24,15.0
2002-04-25,14.8
2002-04-26,14.9
2002-04-27,14.6
2002-04-28,15.0
2002-04-29,14.8
2002-04-30,15.1
2002-05-01,15.4
2002-05-02,15.5
2002-05-03,15.2
2002-05-04,15.3
2002-05-05,15.1
2002-05-06,15.2
2002-05-07,15.0
2002-05-08,14.9
2002-05-09,15.3
2002-05-10,15.2
2002-05-11,15.2
2002-05-12,15.6
2002-05-13,16.5
2002-05-14,16.5
2002-05-15,16.0
2002-05-16,15.9
2002-05-17,15.8
2002-05-18,15.9
2002-05-19,16.0
2002-05-20,16.5
2002-05-21,16.9
2002-05-22,17.2
2002-05-23,17.2
2002-05-24,17.9
2002-05-25,18.1
2002-05-26,18.0
2002-05-27,17.9
2002-05-28,17.9
2002-05-29,18.2
2002-05-30,17.6
2002-05-31,17.8
2002-06-01,17.5
2002-06-02,18.0
2002-06-03,18.1
2002-06-04,18.2
2002-06-05,19.2
2002-06-06,18.9
2002-06-07,18.5
2002-06-08,17.0
2002-06-09,17.2
2002-06-10,17.4
2002-06-11,17.1
2002-06-12,16.4
2002-06-13,17.7
2002-06-14,19.0
2002-06-15,19.7
2002-06-16,19.4
2002-06-17,19.8
