,평균 수온(°C)
2020-06-01,18.9
2020-06-02,18.5
2020-06-03,18.7
2020-06-04,19.0
2020-06-05,18.6
2020-06-06,19.1
2020-06-07,19.1
2020-06-08,19.3
2020-06-09,19.6
2020-06-10,19.5
2020-06-11,20.0
2020-06-12,20.1
2020-06-13,20.3
2020-06-14,20.4
2020-06-15,20.9
2020-06-16,21.6
2020-06-17,21.0
2020-06-18,20.6
2020-06-19,20.5
2020-06-20,20.8
2020-06-21,20.5
2020-06-22,20.7
2020-06-23,21.1
2020-06-24,21.4
2020-06-25,21.3
2020-06-26,22.0
2020-06-27,22.3
2020-06-28,22.7
2020-06-29,22.7
2020-06-30,21.5
2020-07-01,18.8
2020-07-02,19.8
2020-07-03,20.0
2020-07-04,20.3
2020-07-05,20.1
2020-07-06,20.0
2020-07-07,21.3
2020-07-08,21.5
2020-07-09,22.4
2020-07-10,21.7
2020-07-11,20.7
2020-07-12,21.2
2020-07-13,20.9
2020-07-14,20.5
2020-07-15,20.4
2020-07-16,21.2
2020-07-17,21.5
2020-07-18,21.9
2020-07-19,21.5
2020-07-20,21.1
2020-07-21,22.4
2020-07-22,22.4
2020-07-23,22.4
2020-07-24,21.6
2020-07-25,21.6
2020-07-26,22.2
2020-07-27,22.2
2020-07-28,22.4
2020-07-29,22.4
2020-07-30,22.6
2020-07-31,23.3
2020-08-01,24.2
2020-08-02,23.2
2020-08-03,22.6
2020-08-04,22.5
2020-08-05,22.6
2020-08-06,20.9
2020-08-07,20.5
2020-08-08,21.0
2020-08-09,21.0
2020-08-10,21.0
2020-08-11,20.9
2020-08-12,21.7
2020-08-13,22.3
2020-08-14,22.1
2020-08-15,22.4
2020-08-16,24.0
2020-08-17,25.0
2020-08-18,25.9
2020-08-19,25.5
2020-08-20,26.0
2020-08-21,25.3
2020-08-22,24.5
2020-08-23,25.0
2020-08-24,24.6
2020-08-25,25.0
2020-08-26,24.9
2020-08-27,23.9
2020-08-28,23.6
2020-08-29,25.1
2020-08-30,25.0
2020-08-31,25.7
2020-09-01,26.8
2020-09-02,26.4
2020-09-03,22.7
2020-09-04,21.5
2020-09-05,21.8
2020-09-06,21.6
2020-09-07,21.2
2020-09-08,19.8
2020-09-09,20.6
2020-09-10,21.6
2020-09-11,21.2
2020-09-12,20.2
2020-09-13,20.9
2020-09-14,20.9
2020-09-15,21.7
2020-09-16,21.8
2020-09-17,22.3
2020-09-18,22.2
2020-09-19,21.5
2020-09-20,21.6
2020-09-21,22.0
2020-09-22,21.5
2020-09-23,21.9
2020-09-24,21.6
2020-09-25,22.1
2020-09-26,22.3
2020-09-27,21.9
2020-09-28,22.2
2020-09-29,22.0
2020-09-30,21.9
2020-10-01,21.7
2020-10-02,21.4
2020-10-03,20.8
2020-10-04,20.0
2020-10-05,19.4
2020-10-06,19.1
2020-10-07,19.1
2020-10-08,20.4
2020-10-09,20.1
2020-10-10,18.9
2020-10-11,18.8
2020-10-12,19.1
2020-10-13,19.9
2020-10-14,20.3
2020-10-15,20.6
2020-10-16,21.5
2020-10-17,21.1
2020-10-18,21.1
2020-10-19,21.1
2020-10-20,21.233333333333334
2020-10-21,21.366666666666667
2020-10-22,21.5
2020-10-23,21.25
2020-10-24,21.0
2020-10-25,20.9
2020-10-26,20.4
2020-10-27,20.2
2020-10-28,20.0
2020-10-29,19.8
2020-10-30,19.6
2020-10-31,19.5
2020-11-01,19.400000000000002
2020-11-02,19.3
2020-11-03,19.133333333333333
2020-11-04,18.96666666666667
2020-11-05,18.8
2020-11-06,18.85
2020-11-07,18.9
2020-11-08,18.8
2020-11-09,18.6
2020-11-10,18.4
2020-11-11,18.8
2020-11-12,18.6
2020-11-13,18.6
2020-11-14,18.8
2020-11-15,19.1
2020-11-16,18.9
2020-11-17,18.5
2020-11-18,18.3
2020-11-19,18.0
2020-11-20,18.1
2020-11-21,17.9
2020-11-22,17.7
2020-11-23,17.6
2020-11-24,17.5
2020-11-25,17.4
2020-11-26,17.4
